Date,Open,High,Low,Close,Volume,Adj Close,Return
12/31/2012,2600.92,2665.73,2598.57,2660.93,1557230000,2660.93,
1/31/2013,2736.13,2751.11,2730.07,2731.53,2190840000,2731.53,0.026532077
2/28/2013,2742.38,2761.28,2738.22,2738.58,2022530000,2738.58,0.002580971
3/31/2013,2809.49,2820.67,2804.53,2818.69,1636800000,2818.69,0.029252386
4/30/2013,2869.13,2887.87,2859.94,2887.44,1984270000,2887.44,0.024390763
5/31/2013,3001.69,3023.11,2981.76,2981.76,1968270000,2981.76,0.032665614
6/30/2013,2896.7,2927.49,2891.57,2909.6,3630410000,2909.6,-0.024200472
7/31/2013,3094.82,3110.01,3087.47,3090.19,1942380000,3090.19,0.062066951
8/31/2013,3095.17,3095.44,3063.07,3073.81,1328320000,3073.81,-0.005300645
9/30/2013,3190.4,3229.45,3186.86,3218.2,1895760000,3218.2,0.046974276
10/31/2013,3378.51,3400.4,3367.76,3377.73,2139650000,3377.73,0.049571189
11/30/2013,3481.31,3495.97,3481.31,3487.82,853500000,3487.82,0.032592895
12/31/2013,3576.24,3592,3575.25,3592,1401140000,3592,0.029869661
